"","ssvid","best_flag","best_vessel_class","vessel_name"
"336","412328741","CHN","squid_jigger","LURONGYUANYU777"
"337","412420211","CHN","squid_jigger","ZHOUYU6"
"338","412333655","CHN","squid_jigger","LULANYUANYU59"
"339","412549277","CHN","squid_jigger","LURONGYUANYU833"
"340","412549115","CHN","fishing","HANYI17"
"341","412549162","CHN","squid_jigger","JULONGJIAYA34"
"342","412549162","CHN","squid_jigger","SHUNZE811"
"343","412420531","CHN","squid_jigger","JINHAIYANG1"
"344","412420531","CHN","squid_jigger",NA
"345","412420213","CHN","squid_jigger","FENGCHENG103"
"346","412440779","CHN","squid_jigger","MINXIAYUYUN72007"
"347","412440779","CHN","squid_jigger",NA
"348","412330959","CHN","squid_jigger","FUXIN"
"349","412329642","CHN","squid_jigger","LUWEIYUANYU858"
"350","412421192","CHN","fishing","ZHONGJU1"
"351","412440741","CHN","squid_jigger","FUYUANYU7617"
"352","412421191","CHN","squid_jigger","ZHOUPU5"
"353","412549054","CHN","squid_jigger","RUNDA613"
"354","412420209","CHN","squid_jigger","ZHOUYU5"
"355","412328765","CHN","squid_jigger","HAIYANG5"
"356","412328765","CHN","squid_jigger",NA
"357","412440774","CHN","fishing","FUYUANYU7625"
"358","412549095","CHN","squid_jigger",NA
"359","412549095","CHN","squid_jigger","LURONGYUANYU696"
"360","412336869","CHN","fishing","LURONGYUANYU738"
"361","412336869","CHN","fishing","LULAIZHAOYU66186"
"362","210000000","DEU","passenger","RYANJAMES"
"363","210000000","DEU","passenger","EMUNA"
"364","210000000","DEU","passenger","FUYUANYU9998"
"365","210000000","DEU","passenger","XIACHUAN56"
"366","210000000","DEU","passenger","13238"
"367","210000000","DEU","passenger","KRT"
"368","210000000","DEU","passenger",NA
"369","210000000","DEU","passenger","LIUSHUN2"
"370","412331078","CHN","squid_jigger","LURONGYUANYU866"
"371","412331078","CHN","squid_jigger",NA
"372","412331078","CHN","squid_jigger","LURONGYUANYU688"
"373","412440667","CHN","squid_jigger",NA
"374","412440667","CHN","squid_jigger","FUYUANYU7877"
"375","412439588","CHN","squid_jigger","OUYA9"
"376","412440776","CHN","squid_jigger","FUYUANYU7627"
"377","412440556","CHN","squid_jigger","FUYUANYU7883"
"378","412333657","CHN","squid_jigger","LULANYUANYU69"
"379","412420576","CHN","squid_jigger","JIADE16"
"380","412420576","CHN","squid_jigger","16"
"381","412420576","CHN","squid_jigger",NA
"382","412420316","CHN","squid_jigger","JIADE7"
"383","412420316","CHN","squid_jigger","QIONGCHANGJIANG20316"
