"","ssvid","seg_id","start_seg","end_seg","seg_length","positions","overlapping_seg","ndx"
"50","412334074","412334074-2022-05-22T10:28:57.000000Z",2022-05-22 10:28:57,2022-05-28 08:44:23,5.92738425925926,321,FALSE,337
"51","412334074","412334074-2022-05-23T02:57:31.000000Z",2022-05-23 02:57:31,2022-05-24 09:55:25,1.29020833333333,60,TRUE,338
"52","412334074","412334074-2022-05-28T10:23:04.000000Z",2022-05-28 10:23:04,2022-05-29 15:42:34,1.221875,103,FALSE,340
"53","412334074","412334074-2022-05-28T10:23:52.000000Z",2022-05-28 10:23:52,2022-05-29 13:32:20,1.13087962962963,30,TRUE,341
"54","412334074","412334074-2022-05-30T00:28:30.000000Z",2022-05-30 00:28:30,2022-05-30 08:29:44,0.334189814814815,33,FALSE,343
"55","412334074","412334074-2022-05-30T01:47:18.000000Z",2022-05-30 01:47:18,2022-05-30 06:40:41,0.203738425925926,7,TRUE,344
"56","412334074","412334074-2022-05-30T09:50:30.000000Z",2022-05-30 09:50:30,2022-05-30 21:43:55,0.495428240740741,34,FALSE,345
"57","412334074","412334074-2022-05-30T09:50:53.000000Z",2022-05-30 09:50:53,2022-05-30 21:06:46,0.469363425925926,16,TRUE,346
"58","412334074","412334074-2022-05-31T01:16:51.000000Z",2022-05-31 01:16:51,2022-06-01 16:14:46,1.62355324074074,114,FALSE,347
"59","412334074","412334074-2022-05-31T02:28:06.000000Z",2022-05-31 02:28:06,2022-06-01 12:52:33,1.43364583333333,44,TRUE,348
"60","412334074","412334074-2022-06-01T17:25:36.000000Z",2022-06-01 17:25:36,2022-06-01 19:35:34,0.0902546296296296,7,FALSE,349
"61","412334074","412334074-2022-06-01T17:28:58.000000Z",2022-06-01 17:28:58,2022-06-01 19:41:26,0.0919907407407407,10,TRUE,350
"62","412334074","412334074-2022-06-01T20:06:02.000000Z",2022-06-01 20:06:02,2022-06-02 22:06:12,1.08344907407407,91,FALSE,351
"63","412334074","412334074-2022-06-01T21:44:04.000000Z",2022-06-01 21:44:04,2022-06-02 22:08:43,1.01711805555556,27,TRUE,352
"64","412334074","412334074-2022-06-03T05:49:18.000000Z",2022-06-03 05:49:18,2022-06-03 22:23:19,0.690289351851852,36,FALSE,354
"65","412334074","412334074-2022-06-03T05:51:25.000000Z",2022-06-03 05:51:25,2022-06-03 21:33:41,0.654351851851852,20,TRUE,355
"66","412334074","412334074-2022-06-04T05:45:50.000000Z",2022-06-04 05:45:50,2022-06-05 20:13:13,1.60234953703704,107,FALSE,357
"67","412334074","412334074-2022-06-04T05:57:01.000000Z",2022-06-04 05:57:01,2022-06-05 21:20:30,1.64130787037037,44,TRUE,358
"68","412334074","412334074-2022-06-05T21:21:33.000000Z",2022-06-05 21:21:33,2022-06-06 21:44:42,1.01607638888889,61,FALSE,359
"69","412334074","412334074-2022-06-06T17:47:18.000000Z",2022-06-06 17:47:18,2022-06-06 21:40:53,0.162210648148148,12,TRUE,360
