"","msgid","ssvid","seg_id","timestamp","lat","lon","speed_knots","heading","course","meters_to_prev","implied_speed_knots","hours","night","nnet_score","logistic_score","night_loitering","type","source","receiver_type","distance_from_port_m","distance_from_shore_m","distance_from_sat_km","is_fishing_vessel","AIS_class","day"
"424","5930ffe7-9c4d-5ea2-909b-73002cb40b3e","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 11:58:11,-44.5447766666667,-58.5016633333333,0.899999976158142,511,84,59.2078201535096,0.899135507584337,0.0355555555555556,FALSE,0,0,0,"AIS.1","orbcomm","satellite",541759.312,459000,NA,TRUE,"A",18
"425","003dd1c2-7822-eac6-5f4f-bef22dd5754f","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 11:59:29,-44.5446783333333,-58.5012,0.8,511,74.5,38.3121272391124,0.954767681665787,0.0216666666666667,FALSE,0,0,0,"AIS.1","spire","satellite",541759.312,459000,1563.15678806231,TRUE,"A",18
"426","3914d759-33f8-5010-aaf3-1b5fbb0aba91","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 12:01:32,-44.544615,-58.5005566666667,1,511,85.0999984741211,51.4677163978664,0.813365662508136,0.0341666666666667,FALSE,0,0,0,"AIS.1","orbcomm","satellite",541759.312,459000,NA,TRUE,"A",18
"427","5bd9d095-ef5c-54b0-b00e-bb32912b4461","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 12:03:41,-44.5445433333333,-58.4998283333333,0.899999976158142,511,82.4000015258789,58.2673850309389,0.87799463853364,0.0358333333333333,FALSE,0,0,0,"AIS.1","orbcomm","satellite",541759.312,459000,NA,TRUE,"A",18
"428","0fc59f7e-e2cd-5eed-9a0d-7515714c9fe7","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 12:04:52,-44.5444816666667,-58.4993833333333,0.899999976158142,511,78.9000015258789,35.9265824476392,0.983588866103804,0.0197222222222222,FALSE,0,0,0,"AIS.1","orbcomm","satellite",541759.312,459000,NA,TRUE,"A",18
"429","0ad28f92-c1b2-259d-8668-0b3148fdc71b","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 12:05:20,-44.5444533333333,-58.4992166666667,0.9,511,75.2,13.5790666194366,0.94268790272119,0.00777777777777778,FALSE,0,0,0,"AIS.1","spire","satellite",541759.312,459000,1992.94788033865,TRUE,"A",18
"430","95bba3de-da45-5d4f-91ca-86f72bba44d7","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 12:06:11,-44.54437,-58.4989533333333,0.899999976158142,511,67.3000030517578,22.8338634438944,0.870292557637467,0.0141666666666667,FALSE,0,0,0,"AIS.1","orbcomm","satellite",541759.312,459000,NA,TRUE,"A",18
"431","7c92e3a0-5670-52ca-b82b-001d40c1fded","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 12:08:11,-44.5442166666667,-58.4982283333333,1,511,73.6999969482422,59.9323761532361,0.970814595118195,0.0333333333333333,FALSE,0,0,0,"AIS.1","orbcomm","satellite",541759.312,459000,NA,TRUE,"A",18
"432","3bd479f3-c346-5aff-b161-013b4d464597","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 12:10:42,-44.54412,-58.497255,1,511,84.5,77.8817268755316,1.00256992274964,0.0419444444444444,FALSE,0,0,0,"AIS.1","orbcomm","satellite",541759.312,459000,NA,TRUE,"A",18
"433","bb259b0e-ddab-5ea6-8005-4e98ea94720f","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 12:11:11,-44.5441183333333,-58.4970866666667,0.899999976158142,511,87.8000030517578,13.3417029759311,0.894271347540496,0.00805555555555556,FALSE,0,0,0,"AIS.1","orbcomm","satellite",541759.312,459000,NA,TRUE,"A",18
