"","ssvid","positions","names"
"218","150402901",1,"NA"
"219","150402903",1,"NA"
"220","150402905",1,"NA"
"221","150402906",1,"NA"
"222","150402907",1,"NA"
"223","150402911",1,"NA"
"224","150402920",1,"NA"
"225","150402921",1,"NA"
"226","150402924",1,"NA"
"227","150402929",1,"NA"
"228","150402932",1,"NA"
"229","150402934",1,"NA"
"230","150402935",1,"NA"
"231","150402997",1,"NA"
"232","150403971",1,"NA"
"233","150404851",1,"NA"
"234","150405460",1,"NA"
"235","150405814",1,"NA"
"236","150406476",1,"NA"
"237","150406840",1,"NA"
"238","150408907",1,"NA"
"239","150409820",1,"NA"
